economy,gdp_current_usd,gdp_per_capita,inflation_rate,unemployment_rate,trade_percent_gdp,exports_percent_gdp,imports_percent_gdp,gross_savings_percent_gdp,education_expenditure_percent_gdp,health_expenditure_percent_gdp,population,urban_population_percent,manufacturing_value_added_per_capita,manufacturing_percent_gdp,industry_value_added_percent_gdp,medical_doctors,life_expectancy,infant_mortality_rate,probability_of_dying,air_pollution
PNG,28993178882.897602,2836.407163344826,3.5019214364615494,2.7954,,,,,0.7593757933633017,2.39636916,10199589.6,13.5972,480606317.51832706,1.6607297926165479,36.16509709214696,0.61,65.48786529,31.989812503,28.6,1004.064
POL,743567887898.75,20169.11749302114,7.6344240804387145,2.8898,108.76595670721993,56.4069202453937,52.35903646182618,19.651480695096,4.578179836273193,6.559244443999999,36912223.2,60.160000000000004,124592796767.3814,16.8045242138305,28.395943551826242,40.31,75.4021086,4.088271139,23.1,18987.168
PRE,1475876913356.2239,1403.533600646016,5.397631890420092,5.210119639372996,,26.17659991450166,26.24128860754618,,3.12095222216143,4.32461395909245,1051792391.4,43.63884945688786,148610327893.30582,10.066178441831616,32.3926400998531,,,,,
PRI,113523540000.0,35126.65735873442,,6.7974000000000006,99.00898760378479,54.57066956956744,44.43831803421724,,4.083521642758532,,3234305.0,93.6162,51626220000.0,45.5876691349297,48.857580748878256,,83.51311535,,10.1,
PRK,,,,2.8886,,,,,,,26322943.6,62.928999999999995,,,,36.28,75.64984451,16.069266411,19.0,2935.559
PRT,268190721519.11163,25572.43299069714,3.1626647799943313,6.4564,89.75023104409361,44.45444339716214,45.29578764693154,19.8720440792642,4.72970660527547,10.331463432000001,10474610.8,67.3738,32310227073.580517,12.074580038440299,18.74256101999178,58.51,83.88307768,2.787077223,14.8,1656.294
PRY,40982432087.84516,6052.823462854162,4.957698253553184,6.7002,73.09535256701596,36.47859515242628,36.61675741458966,20.81387762095988,3.5373850464820853,7.65174055,6764336.8,62.827,7860161728.70123,19.165288264727742,33.7056324676312,38.93,67.62709698,13.596538687,13.8,448.582
PSE,16873040000.0,3351.898801285148,12.756724110582072,25.56833333333333,76.72270315492005,17.984073931287238,58.73862922363283,14.550910110883478,5.43442010879517,9.907491685,5044911.4,77.2944,1962833333.3333333,11.145350543069599,17.3687465946813,,75.87512392,13.264616256,22.3,
PSS,10514351593.971899,3951.371990209572,4.221158836258196,3.189613800127804,92.0535180244642,30.300171861191977,58.642998925586994,13.079974805794967,,6.15688148051455,2657751.0,39.283317527747684,789153288.4794942,7.555385120664026,13.958695699305775,,,,,
PST,57340717880633.98,51167.78141115018,3.7105745801102623,5.229661239055586,58.95517853843986,28.777138737032338,28.93695501622576,22.538853531021523,5.1214516957600935,13.65474042193385,1120376869.2,82.0805622201785,7032762239871.934,12.28022322120348,20.82309394683858,,,,,
PYF,5985586266.749628,21365.5449101717,,12.1738,58.352462660284054,16.692977320174883,41.65948534010917,,,,280460.8,62.1838,263669560.585495,4.72964986303904,10.646123379638,,,,,
QAT,198167695000.0,73721.72684895915,1.8108836519385663,0.1332,94.3373002181469,58.814436155842166,35.52286406230467,50.224602427887994,3.2336699962616,3.0193312775,2694049.0,99.3144,17041797181.31868,8.548052767829146,59.304838028366284,30.22,77.97981478,4.58880805,12.5,15.761
ROU,313701955023.65283,16420.72995654316,7.519496767221867,5.4414,83.70809485502612,39.0708882310869,44.63720662393922,18.15702023747994,3.391379992167153,6.0398041,19112926.0,54.512800000000006,42630915612.96846,13.83156720401514,26.323351933135143,36.25,72.76430945,4.88165843,21.5,546.266
RUS,1971843253394.8237,13440.275390625,5.038059145977545,3.9677999999999995,43.935676254227175,25.530844127553202,18.404832126674002,29.9906386802152,4.057450427416033,6.8962391625,144317764.8,75.1386,259187244084.99335,13.15542683112968,30.97230657611642,51.11,70.017337,4.024765616,14.7,1899.157
RWA,12630539977.50672,922.0809395707496,9.741620196341982,13.4068,61.0976361223495,23.42686184091002,37.67077428143952,13.878164554367451,4.656113529085092,7.2342625824999995,13656633.0,17.7388,1175847448.8341112,9.283806785850654,20.40584218097876,0.9,67.54213882,27.125530324,20.0,116.843
